Short,Long,Class,Opinion
“Very nice atmosphere”,"We were together with some friends at the Anewandter Hof. We took all 4 apartments, which enabled us privacy & piece. Apartments are fully equiped. Free use of sauna & whirlpool in the hotel was a bonus. Every morning there is a fresh bread waiting for us at the door. Great atmosphere, hospitable family Mairl and affordable price.",family,POS
"“Very nice food, great atmosphere, feels like home”","Martin and his staff are truely great! They make you feel at home. Their cheff does great things in the kitchen. We tasted a lot of dishes, prepared with quality ingredients. Our familyroom was nice with two separate bedrooms. The bathroom was small but our children had an extra sink in their bedroon so that was OK. The different bars (Stubes) our very cosy. A very nice place to stay!",family,POS
“Best Hotel on the Planet”,"We have stayed at the Excelsior on numerous occasions, both in summer and winter. Relaxation starts immediately, the second you walk in the door. The Call family and the staff are all wonderful and attentive to your every need. Kids are well catered for, allowing parents some precious quiet time together. The only hard thing to do here is leave! Spa and treatments are exceptional. Dining is exceptional and the outdoor lunch organized weekly is a highlight. Daily fitness events are well organized and prepared and there are secure parking facilities for bicycles (if you want to bring your own). We fully recommend this hotel and after many global travels feel that this is truly the best hotel on the planet. We know we will be back as soon as possible!",family,POS
“What a vacation should be”,"Having four days free in Milan, we decided to join some friends who were already vacationing at the Excelsior in St Vigilio. One couple was on their seventh visit to the resort and the other on their third, so we expected the hotel to be good. Our experience exceeded our expectations. Besides the fresh air and the gorgeous views that probably come with most any place in the Dolomites, at the Excelsior we were particularly impressed by the flawless service, their genuine hospitality, and the healthy and varied cuisine that included delicious vegetarian and gluten-free options. For dinner, besides the ample and fresh buffet, we chose our first course, main course, and dessert off a menu that we checked at breakfast.The menu had daily specials (sublime) and dietetic alternatives, such as simple grilled fish or grilled veal, consommé, etc. Our room was large and impeccably clean. It was divided into separate sleeping and living areas. A spacious balcony gave onto the valley below and the mountain peaks across. Hikes and bike tours are organized by the hotel. A barbecue picnic was also organized at a gorgeous spot in the forest next to a rambling stream. The more sporty guests could take a challenging hike to the picnic rendezvous accompanied by the hotel guide; the less physically fit could get there with the hotel van. We chose to hike on our own from a location about an hour from the picnic area. As the food was so good we overdid the eating so physical activity was a must. We used the spa facilities every day, mostly for the different saunas and the large outdoor whirlpool. The gym was small but sufficient and came with a beautiful view. For us, the Excelsior was the ideal place to rediscover a healthier lifestyle, enjoy the company of friends, and appreciate the natural beauty of the Dolomites. We look forward to returning.",friends,POS
“Excellent stay”,"In all aspects an excellent stay. Professional and friendly staff. Beautiful room and luxurious wellnessarea. Perfect meals, partly buffet and partly served. Hotel next to the slopes with a perfect connection with Kronplatz ski area. Room Tip: For a romantic stay choose room 210. This room has a fourposter. See more room tips",couple,POS
“OH Monika....the pinacle of Sesto”,"Located in the hamlet of Sexten / Sesto in far northeastern Italy, literally in the shadow of the Austrian / Italian border to the north and the mighty Dolomites to the south, this family run boutique hotel of 45 rooms has been one of my favorite hotels in the past couple of years. The hotel, staff, restaurant and spa deservedly earn my rating of a five, I don’t give out too many fives. I would have to say it all started before my brother-in-law and I even arrived for our “guys long weekend” of hiking and photography in the Dolomites when we were sent an email from Hotel Monika informing us that if we would like, the rooms we reserved were available the day before and we could come early with a discount. We took them up on their offer…. Arrival and check-in was a breeze….we presented ourselves to the reception desk and quickly ushered into the sitting area with a drink of our choice. By the time we were done, our bags were up in our rooms. John, my travel companion and I reserved two “single” rooms. These are smaller rooms with a single twin bed, a pullout sleeper sofa, and bathroom. Clean and nicely decorated. No balcony like the other rooms have, but quite frankly the only time we were in the rooms was to sleep. The other rooms in the hotel come in different shapes and sizes for couples to families. If they are anything like the “Single” rooms, they are mostly likely perfect. Common areas – bar, lounge, restaurant. There is a small bar and bigger lounge area where guests can mingle, drink, talk or stare into the central fire place. Two omissions – no smoking and no TV. I was a bit concerned being so close to Austria that smoking would be permitted, only outside…..I think as during our stay nobody smoked. The restaurant – Simply WOW. Not for the ambiance of an alpine dining room, but for the food. I’m not kidding. The meals here at the Monika have been superb. Because the hotel offers 3/4 board, breakfast, a late afternoon snack that is more like a lunch, and dinner is included in the room rate. We did not have a bad meal. Dinner, the highlight of the day is a five or six course meal – a set menu with limited choices of regional specialties. Vegetarians don’t worry as there are vegetarian dishes too. I jokingly told John that this is a gourmet restaurant with bedrooms. One would think that you would grow tired of eating at the same restaurant, but not here. In the evenings we would talk with our neighbors about the day’s activities, which hike did you do etc. It is very much of a family affair. Service in the restaurant is top notch along with the food. After a day or so, your wait person will know your likes and dislikes. Here is a tip – every day there are two wines recommendations – take them. Another highlight of the hotel is the spa and pool area. Do yourself a favor and book a spa treatment before you arrive as the spa maybe full on weekends. There is an indoor pool with an outdoor Jacuzzi. During the summer, you can lounge outside in the flower garden looking at the pinnacles of the nearby Dolomites. Also after a long day’s hike, take some time to soak up some hot and dry heat in their four different saunas. For the Americans coming here be forewarned that the spa area is a “naked” area for both men and women. After your first time in the spa, your shyness will fade as so will your sore muscles. So let’s talk about activities. While there are no real activities at the hotel, the hotel is located in the middle of sportsman’s paradise whether it be winter or summer, hiking or skiing, golf or even paragliding, the hotel will help you with arrangements and offer some discounts to some of the activities that there is a charge. John and I spent two days hiking and a day of lounging around the spa. An invitation to stay longer – one evening there was a note on my bed stating that the room is available if we would like to stay one more day longer – at a discount. Unfortunately John had to get back to home and his family; I on the other hand stayed for two extra days and more hiking. Check-out was a breeze. There are piggy banks at the reception for tips for the staff….next time I’m bringing my wife. I noticed that many of our fellow guests were return clients....there is a god reason for that.",friends,POS
“Escape To Hotel Monika”,"The TripAdvisor reviews aren’t wrong. Hotel Monika is the best choice in this area of Italy. If you like hiking, biking or just enjoying beautiful scenery, you won’t be disappointed. Our stay was seven days, and we chose full board, which included one of the best breakfasts of our 30-day Italy trip. Dinner was a five-course experience every night, and the wine list was very reasonable. Full board is a good choice here in Sesto as the dining choices are rather limited. Our superior hotel room was perfect save for low to the floor furnishings, which made sitting and reading a challenge. On the flip side our bathroom was likely the best of our 30-day adventure. The staff makes Monika very special indeed. From the maid to the front desk, all the servers, along with Alexander and the family of founders/owners, they all aim to please! In hindsight, three days would have been the perfect amount of time here rather than seven (unless your totally into hiking or biking), but you can't go wrong with Hotel Monika. Room Tip: Superior room in the newest section of the hotel. See more room tips",couple,POS
“Faultless in every way”,"It is not often that I give a hotel the maximum possible review and I would give it more if I could. The Monika is simply faultless. Alexander (owner) delivers a fantastic experience and has staff who are attentive, helpful and cannot do too much for you. The hotel is stunning, with beautiful bedrooms, bathrooms and public areas. The food, if not michelin starred already, should be, as it is simply fantastic. The 3/4 board option provides excellent value for money with you not wanting for anything. There is also no penny pinching whatsoever, with everything you could think of provided for your gastronomic pleasure. We only came for 3 nights but will certainly be back and are already planning our next visit. You MUST visit this hotel, it is simply fantastic!",couple,POS
“Third stay - still brilliant”,"This was a our third trip in three years to the Monika Hotel in Sesto. This is a great hotel in a wonderful setting. The hotel caters for your every need and is run by the Egarter family who make you feel very welcome along with all the staff. The food is wonderful at breakfast, dinner and afternoon snack. The rooms are spacious and fresh in an alpine style. There is a lovely indoor pool, outside jacuzzi and a great spa. The hotel is in walking distance of a cable car up to Mount St. Elmo and into the centre of Sesto where there are a few bars and restaurants. The hotel also has bikes which can be used for free. These have been upgraded recently but they are all quite large so I had to hire a smaller one nearby. The walking around Sesto is amazing. There are loads of clearly marked walks and trails and there are plenty of huts along the routes that serve food and lots of steins of beer and wine! The Unesco heritage site of Tre Cime is stunning and well worth a visit. San Candido is a bike ride or bus ride away which is beautiful. We will return!",couple,POS
“Wonderful - we were sorry to leave!”,"We chose to stay at the Hotel Monika after my husband completed the eight day Transalpine running race across the alps, from Germany through Austria finishing in Sexten. And what a perfect choice it was. The spa facilities, the grounds, the comfort of the room, and the excellence of the food, all contributed to a fantastic few days. The food was the highlight of our stay, in fact. Delicious breakfast (I loved the bread with fresh honeycomb and local fresh butter), the afternoon snack, and the beautifully presented and superbly cooked five course evening meals - unfailingly excellent. We stayed in one of the Pinus rooms on the top floor; great views, plenty of space, and extremely comfortable. The main languages in the area are Italian and German, so we particularly appreciated that the staff printed our detailed hotel information, and the daily dinner menu, in English for us. The staff are all friendly and helpful. My husband enjoyed some of the spa facilities, and we both made use of the swimming pool and whirlpool. Although we didn't take part, the free activity programme looked comprehensive and varied. The local public transport service is excellent, we used local buses on two days to get to fantastic walking/hiking routes. Hotel Monika thoroughly deserves its rating as the top hotel in Sexten. Thanks again to all the team for a wonderful stay.",family,POS
“One of my all time favorite places!”,"Hotel Monika was the highlight of our trip (couple with college age son) to Italy, Slovenia and Croatia. Outstanding spa (five types of sauna plus jacuzzi and pool) and complimentary tea/juice lounge and stunning outdoor lounge area. Spacious rooms decorated in a modern natural style with balconies. Incredibly gracious service. Breakfast, afternoon snack and five course evening meal were all gourmet, healthy and delicious. Many free programs which are nice especially if you are a single traveler.",family,POS
“Simply Stunning”,"This was our second visit to the Miramonti hotel, we visited the same time in Dec 2013. We said then we would probably not return as we could not better the experience.....Wrong! This hotel remains the best we have ever visited. To get there, we took a different route this time by flying into Innsbruck and then hiring a car. (Hertz were spot on.) We then took the A12 out of Innsbruck and drove through the Brenner pass (awesome views) down to Bolzano (it turns into the A22 further down), then on to Merano. It takes about 2 hours to get to Avelengo. You also go through three toll booths (paying at two) en-route. On arrival, we were greeted with a glass of ice cold Prosecco, which we had on the terrace while waiting for the room. The views were as stunning as the first time. We got re-acquainted with Marcello (a very fine waiter) from last year before going up to our room. This year, we were in room 407 (Loft room) which was as lovely as the first loft room we had (404). What keeps this hotel a superb place to visit is Klaus and Carmen and their outstanding team. We experienced the same attention to detail and lovely customer service as in 2013. Klaus and Carmen are, without doubt, two of the kindest people we have met and their staff reflects these values. We will be going back. Room Tip: Choose a loft room or the 007 room! See more room tips",couple,POS
“ABOVE THE CLOUDS”,"We have been to Merano many times and know the Alto Adige well, but this experience was unexpectedly new. High up in the mountains after curving roads and a search through a tiny village and dark forests we found a heavenly place. We were greeted with a glass of prosecco which we enjoyed on the terrace while admiring the spectacular view into the valley. Our room was large with balcony and jacuzzi and all the amenities wanted for leisure time spent in the room. The hotel features a pool and spa, so the bath robes and slippers came in handy. The nature environment is repeated through the ecological appointment of the hotel inside: All natural fibers. The lobby features a blazing fire and comfortable chairs and sofas, newspapers, a bar, and helpful spirits will appear with coffee, tea or snacks. There is """"tea time"""" with cakes and fruits laid out in the dining room. Dining is a visual and palate pleasure: Excellent meals and good wine while viewing the city of Merano come to life with a million lights, a proper venue for our 50th wedding anniversary.",couple,POS
“Brilliant”,"This is our third visit, (11 nights) having been in 2008 and 2010. I think I said a lot then about it and it all still holds true. It isn’t cheap, but fantastic value for money. Visit the website for great pictures and visit the german site for panoramic views of the rooms and facilities. The staff are great, and we had great service from Petra, Antonio, Anna and Peter in the Restaurant. Yovannah and Manuel in the bar are great and worth watching the 2 of them working together. Katrin on Reception was extremely helpful especially when our Avis rental car broke down, she made some phone calls on our behalf. The menus are translated into English, which is good. The choice of food for Breakfast, Lunch (2.00 to 5.00) and then for Dinner is really good. You will not get bored with what is available. In some Hotels (especially in the UK) they give the same menu every night so after 2/3 nights you are stuck for what to choose. Not here because of the combination of choices available. The quality is superb. Our UK hotels could learn a lot from this hotel. We didn’t have any treatments, for fear of the language barrier. The owners don’t speak English and we only have a little German, but there is always someone around who will be able to help, especially the younger staff. We are just amazed that more Brits don’t visit this area. We will be back.",couple,POS
“Our best hotel experience ever”,"My wife and I have just returned to Norway after a five nights stay at Hotel Preidlhof. It was a dreamlike experience! Our spacious suite (Malve) had a terrace with whirlpool and sunbeds, the bathroom was luxurious, the room service was excellent with an abundance of clean towels and sheets for the sunbeds every morning. The food was excellent as well - very nice breakfast and lunch buffets and a delicious 7 course (!) dinner every night, all included in the room rate. We had our table decorated in different romantic ways at dinner every night. Very efficient waiters gave excellent service at every meal - almost no waiting for the different dishes. Drinks (both soft drinks and alcoholic beverages) were extremely expensive though, even by Norwegian standards. The spa and wellness area was a dream in itself: Everything was neat and clean, the spa suites were spacious and very romantic and the therapists professional and skilled literally to the tips of their fingers. We are definitely going back to Naturns and Hotel Preidlhof some time. This hotel is just perfect for a romantic holiday trip for couples!",couple,POS
